YEAR,FIPS,STATE,NAME,INTPTLAT,INTPTLON,TOTALJAILPOP
1999,48201,TX,Harris County,29.857273,-95.393037,8216.93
1999,48187,TX,Guadalupe County,29.583532,-97.946771,189
1999,48141,TX,El Paso County,31.76648,-106.241424,2059
1999,48113,TX,Dallas County,32.766987,-96.778424,6546.44
