YEAR,FIPS,STATE,NAME,INTPTLAT,INTPTLON,TOTALJAILPOP
2008,48201,TX,Harris County,29.857273,-95.393037,10046.05
2008,48187,TX,Guadalupe County,29.583532,-97.946771,427.14
2008,48141,TX,El Paso County,31.76648,-106.241424,2226
2008,48113,TX,Dallas County,32.766987,-96.778424,6567.94
