YEAR,FIPS,STATE,NAME,INTPTLAT,INTPTLON,TOTALJAILPOP
2013,48201,TX,Harris County,29.857273,-95.393037,8851
2013,48187,TX,Guadalupe County,29.583532,-97.946771,310
2013,48141,TX,El Paso County,31.76648,-106.241424,2275
2013,48113,TX,Dallas County,32.766987,-96.778424,5836
